date_,time_,title,content
30-06-2022,17:00,Три российские компании отменили дивиденды акционерам в 2022 году Главное,В четверг 30 июня состоялись годовые собрания акционеров (ГОСы) ПАО Газпром Сбербанк и Россети на которых были приняты решения по вопросам о распределении прибыли и о выплате дивидендов за 2021 год 
30-06-2022,13:00,Акционеры Сбербанка приняли решение не выплачивать дивиденды на акции,Акционеры Сбербанка на годовом собрании решили чистую прибыль за прошедший год не распределять и не выплачивать дивиденды на акции Об этом говорится в сообщении банка 30 июня 
28-06-2022,16:00,Экоскамейки из переработанного пластика появились в Омске,В Омске на Зеленом острове появились экоскамейки из переработанного пластика 
24-06-2022,14:00,Сбер вводит комиссию за переводы через приложения других банков,Сбербанк России введет с 1 июля комиссию за стягивание средств с карт через приложения и сайты других банков Об этом 24 июня сообщил официальный сайт Сбера 
22-06-2022,17:00,Названа российская компания лидер по продажам собственных IT-разработок,Портал TAdviser назвал основанную Сбербанком компанию BI ZONE лидером по продажам собственных разработок среди поставщиков российского ПО в 2021 году 
17-06-2022,14:00,Греф рассказал о сценариях трансформации российской экономики,В нынешних беспрецедентных условиях главным вызовом становится обеспечение структурной перестройки российской экономики заявил президент Сбербанка Герман Греф во время делового завтрака Российская экономика: как построить мост в будущее? организованного Сбером в рамках Петербургского международного экономического форума 
17-06-2022,11:00,Греф понадеялся на создание в России системы для компенсации отключения от SWIFT,Сбербанк рассчитывает на создание в России в течение ближайшего года эффективной системы способной компенсировать отключение от SWIFT Об этом глава банка Герман Греф заявил в интервью телеканалу Россия 24 в пятницу 17 июня 
17-06-2022,10:00,Греф назвал срок возвращения экономики России к уровню 2021 года без реформ,Экономика России вернется к уровням прошлого года примерно через 10 лет если ничего не предпринимать в текущей ситуации Об этом в пятницу 17 июня заявил президент Сбербанка Герман Греф на Петербургском международном экономическом форуме (ПМЭФ) 
17-06-2022,13:00,Греф назвал важнейший фактор устойчивости российской экономики,Экономика России продемонстрировала совершенно неожиданную гибкость заявил президент Сбербанка Герман Греф в рамках Петербургского международного экономического форума (ПМЭФ) 
15-06-2022,13:00,Сбербанк заявил о дедолларизации вкладов россиян,Сбербанк фиксирует дедолларизацию вкладов россиян Об этом первый зампред правления кредитной организации Кирилл Царев заявил в среду 15 июня 
15-06-2022,12:00,Клиенты Сбера надежно защищены,Зампред правления Сбербанка Станислав Кузнецов о борьбе с мошенническими call-центрами и работе по импортозамещению 
14-06-2022,15:00,Сбербанк снизил ставки по ипотеке на 04 процентов,Сбербанк снизил ставки по ипотечному кредитованию на 04 процентов Об этом банк 14 июня сообщил на официальном сайте 
12-06-2022,13:00,Сбербанк снизил ставки по потребительским кредитам и вкладам,Сбербанк снизил ставки по потребительским кредитам и вкладам теперь максимальная ставка по рублевым депозитам составляет 8 процентов а минимальная базовая стоимость потребкредита 149 процентов годовых Это следует из сообщения банка и информации на его сайте 
08-06-2022,23:00,Сбербанк приостановил расчеты по внешнеторговым договорам в юанях,Сбербанк с 7 июня приостановил платежи бизнеса по внешнеторговым договорам в китайских юанях сообщил 8 июня представитель банка Коммерсанту 
06-06-2022,20:00,Активность девелоперов в России снизилась на треть,Активность застройщиков в I квартале 2022 года снизилась более чем на треть настолько реже они стали обращались за проектным финансированием в сравнении с аналогичным периодом прошлого года 
03-06-2022,19:00,Сбербанк раскрыл подробности работы колл-центра мошенников в Бердянске,Колл-центр мошенников в Бердянске действовал по согласованию с властями Украины 
02-06-2022,17:00,Постпреды ЕС утвердили тексты новых санкций против России,Постпреды Евросоюза 2 июня утвердили текст юридических документов по новым санкциям против России Шестой пакет санкций предусматривает отключение от SWIFT Сбербанка а также частичное эмбарго на нефть сообщили во французском председательстве ЕС 
02-06-2022,15:00,Герман Греф определил главный вызов в области социальной политики,Самым большим вызовом в области социальной политики является клиентоцентричность заявил президент Сбербанка Герман Греф 
01-06-2022,18:00,Сбер представил приоритетные цифровые проекты на ЦИПР-2022,Заместитель председателя правления Сбербанка Ольга Голодец выступая на ежегодной VII конференции Цифровая индустрия промышленной России рассказала о технологических решениях и разработках Сбера направленных на цифровизацию различных отраслей экономики социальной сферы и здравоохранения 
01-06-2022,23:00,Не договорили о цене: из банковских предложений о кредитах исчезли процентные ставки,В рекламных сообщениях теперь показывают только сумму кредита и срок действия предложения 
31-05-2022,15:00,Аналитик оценила последствия из-за отключения Сбера от SWIFT,В результате решения Евросоюза об отключении Сбербанка от SWIFT фактически ничего не изменится банк с 7 апреля остановил все переводы за рубеж в иностранной валюте 
31-05-2022,11:00,В Сбере прокомментировали решение Евросоюза об отключении банка от SWIFT,Сбер 31 мая прокомментировал решение Евросоюза об отключении организации от международной платежной системы SWIFT В пресс-службе банка заверили что это не отразится на работе организации и международных расчетах 
28-05-2022,10:00,Сбербанк снизит ставки по потребкредитам и ипотеке,С 28 мая Сбербанк снижает ставки по потребительским кредитам на 2 процентных пункта минимальная ставка теперь составит 159 процентов годовых 
24-05-2022,23:00,Семь российских банков вошли в число крупнейших эквайеров Европы,Лидером рейтинга топ-45 торговых эквайеров Европы (банков которые принимают платежи) в 2021 году в шестой раз подряд стал Сбер говорится в исследовании Nilson Report 
24-05-2022,21:00,Карты России: семь банков РФ вошли в число крупнейших эквайеров Европы,Как санкции повлияют на их позиции в 2022 году 
17-05-2022,16:00,Три члена правления Сбербанка покинули свои должности,Три сотрудника Сбербанка а именно член правления Наталья Алымова и зампреды в лице Александры Бурико и Сергея Мальцева покинули свои должности Об этом рассказали во вторник 17 мая в пресс-службе Сбера 
16-05-2022,20:00,Первый зампред правления Сбера рассказал о возвращении клиентов,В апреле приток средств на вклады в Сбербанке превысил отток зафиксированный в феврале и марте Об этом в интервью России 24 рассказал первый зампред правления Сбера Кирилл Царёв 
14-05-2022,23:00,Прямой отжим: Украина нацелилась на активы Cбербанка и ВЭБ,Банки намерены судиться за возвращение изъятых средств однако процесс будет долгим и сложным 
13-05-2022,20:00,Сбербанк предупредил пользователей App Store о приложениях мошенников,Сбербанк предупредил о появлении в App Store мошеннических приложений имитирующих его сервисы банк ведет работу по их блокировке Об этом 13 мая сообщили в пресс-службе кредитной организации 
12-05-2022,23:00,В Сбербанке рассказали о масштабной кибервойне против России,Зампредседателя правления Сбербанка Станислав Кузнецов заявил что России объявлена кибервойна в которой количество участников кибератак превышает 100 тысяч человек 
12-05-2022,19:00,Юрист оценил шансы Сбербанка выиграть в деле с инвестарбитражем против Украины,Инвестиционный арбитраж который инициирует Сбербанк с требованием о возмещении убытков после решения Совета национальной безопасности и обороны (СНБО) Украины об изъятии активов дело необходимое потому что фактически идет отъем денег выданных банками обнуление кредитных историй и перехода всего в ведение украинской управляющей структуры инвестфонда 
12-05-2022,15:00,Сбербанк инициирует инвестиционный арбитраж против Украины,Сбербанк инициирует инвестиционный арбитраж с требованием о возмещении убытков после решения совета национальной безопасности и обороны (СНБО) Украины об изъятии активов Об этом в четверг 12 мая сообщили в пресс-службе банка 
08-05-2022,15:00,Сбербанк увеличил сумму кредита по ипотеке с господдержкой,Сбербанк 8 мая увеличил максимальную сумму кредита по ипотеке с господдержкой до 30 миллион рублей для Москвы и Санкт-Петербурга а также для Московской и Ленинградской областей 
04-05-2022,19:00,Эксперты оценили последствия для россиян при отключении Сбербанка от SWIFT,В случае отключения от международной платежной системы SWIFT Сбербанка Россельхозбанка и МКБ ничего страшного для банков и их клиентов не произойдет 
04-05-2022,17:00,Сбербанк снизил ставку по ипотеке при регистрации сделки онлайн,Сбербанк снизил ставку по льготной ипотеке по программе Господдержка с 9 процентов до 87 процентов при электронной регистрации сделки Об этом сообщили в среду 4 мая в пресс-службе кредитной организации 
