<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,03/11/20,23:00,208.6800000,209.2500000,208.6700000,209.2000000,1054290
SBER,60,05/11/20,10:00,214.4000000,214.7000000,211.4300000,213.9500000,24156120
SBER,60,05/11/20,11:00,213.9100000,215.0000000,212.7500000,213.0800000,17538880
SBER,60,05/11/20,12:00,213.0500000,214.2900000,212.5700000,213.7200000,9936480
SBER,60,05/11/20,13:00,213.7400000,214.7500000,213.6500000,213.9500000,11627600
SBER,60,05/11/20,14:00,213.9900000,217.7600000,213.8000000,216.8700000,34035620
SBER,60,05/11/20,15:00,216.8800000,217.0600000,215.7700000,216.4900000,9374270
SBER,60,05/11/20,16:00,216.5200000,216.7500000,216.1600000,216.4300000,9967960
SBER,60,05/11/20,17:00,216.4300000,217.9800000,216.3200000,217.4200000,15100790
SBER,60,05/11/20,18:00,217.4900000,217.8000000,217.0400000,217.5800000,10287510
SBER,60,05/11/20,19:00,218.3300000,218.6500000,216.4500000,216.4500000,5696430
SBER,60,05/11/20,20:00,216.4500000,216.7500000,216.1200000,216.6400000,1439180
SBER,60,05/11/20,21:00,216.6500000,217.0000000,216.4600000,216.7000000,955450
SBER,60,05/11/20,22:00,216.7000000,217.1700000,216.6800000,216.9900000,1062730
SBER,60,05/11/20,23:00,216.9500000,217.1000000,216.7000000,216.7000000,880140
SBER,60,06/11/20,10:00,215.8000000,216.0900000,213.0000000,215.8800000,17417860
SBER,60,06/11/20,11:00,215.8900000,218.2900000,215.7400000,217.3400000,18484570
SBER,60,06/11/20,12:00,217.3000000,217.3600000,215.1500000,215.5000000,11226640
SBER,60,06/11/20,13:00,215.5000000,216.5500000,214.7900000,216.0800000,6949260
SBER,60,06/11/20,14:00,216.0800000,216.9600000,215.8000000,216.2800000,4112030
SBER,60,06/11/20,15:00,216.3100000,216.9800000,215.8000000,216.0100000,3914100
SBER,60,06/11/20,16:00,216.0300000,217.1500000,215.6300000,217.0300000,7833590
SBER,60,06/11/20,17:00,217.0400000,218.2700000,216.5800000,217.0500000,11377150
SBER,60,06/11/20,18:00,217.0700000,217.5800000,216.8800000,217.5500000,9157670
SBER,60,06/11/20,19:00,217.3000000,217.6800000,216.8400000,217.4000000,1701460
SBER,60,06/11/20,20:00,217.3500000,217.5100000,217.2100000,217.4000000,484700
SBER,60,06/11/20,21:00,217.4100000,217.5000000,217.3500000,217.4900000,722040
SBER,60,06/11/20,22:00,217.4600000,217.5400000,217.2500000,217.2600000,694790
SBER,60,06/11/20,23:00,217.2500000,217.5000000,217.0700000,217.5000000,852330
SBER,60,09/11/20,10:00,220.0000000,220.9200000,219.1400000,219.9500000,17311330
SBER,60,09/11/20,11:00,219.9400000,220.7000000,219.2700000,219.5000000,11033190
SBER,60,09/11/20,12:00,219.5000000,220.1100000,218.7300000,218.7500000,6142690
SBER,60,09/11/20,13:00,218.8000000,219.6500000,218.7000000,219.5800000,4973010
SBER,60,09/11/20,14:00,219.6200000,222.4000000,219.4900000,221.9400000,15181700
SBER,60,09/11/20,15:00,221.9900000,226.6500000,221.2400000,226.5100000,44962190
SBER,60,09/11/20,16:00,226.5800000,227.1500000,225.5500000,226.9300000,30866920
SBER,60,09/11/20,17:00,226.9000000,229.8800000,226.7600000,228.1500000,38804560
SBER,60,09/11/20,18:00,228.2000000,229.8900000,228.1600000,229.8900000,24544190
SBER,60,09/11/20,19:00,230.2500000,231.3000000,229.1200000,229.2100000,13846210
SBER,60,09/11/20,20:00,229.2400000,229.4600000,227.8400000,228.1900000,4961810
SBER,60,09/11/20,21:00,228.1500000,228.4000000,228.0000000,228.1400000,1642690
SBER,60,09/11/20,22:00,228.1500000,228.6000000,227.8400000,228.2100000,1830620
SBER,60,09/11/20,23:00,228.2200000,228.2500000,228.0000000,228.0500000,1116100
SBER,60,10/11/20,10:00,227.1800000,228.9800000,226.2700000,227.0800000,20346880
SBER,60,10/11/20,11:00,227.0500000,232.2500000,227.0300000,231.4300000,46832580
SBER,60,10/11/20,12:00,231.4200000,231.6500000,230.1900000,230.7600000,12688640
SBER,60,10/11/20,13:00,230.7700000,232.9700000,229.8000000,232.6800000,22939830
SBER,60,10/11/20,14:00,232.6500000,233.6400000,232.0500000,233.5600000,21027410
SBER,60,10/11/20,15:00,233.6100000,234.2000000,232.1100000,233.7600000,28146770
SBER,60,10/11/20,16:00,233.7100000,234.7900000,233.5500000,234.7200000,15369660
SBER,60,10/11/20,17:00,234.7200000,237.4600000,234.7200000,237.3400000,25985690
SBER,60,10/11/20,18:00,237.3400000,237.4400000,235.5000000,237.4000000,22468420
SBER,60,10/11/20,19:00,237.5000000,237.6000000,235.9100000,236.1300000,7609360
SBER,60,10/11/20,20:00,236.1300000,236.4800000,235.9100000,235.9500000,1608610
SBER,60,10/11/20,21:00,235.9500000,236.0900000,235.5400000,235.9000000,2028540
SBER,60,10/11/20,22:00,235.9100000,236.1400000,235.5200000,235.8000000,1349180
SBER,60,10/11/20,23:00,235.7800000,236.2000000,235.7600000,236.1000000,1029530
SBER,60,11/11/20,10:00,237.0000000,240.0400000,236.8900000,238.8700000,28799450
SBER,60,11/11/20,11:00,238.8300000,242.0000000,238.8100000,240.6700000,36500570
SBER,60,11/11/20,12:00,240.6700000,243.6500000,240.6000000,242.8900000,24829080
SBER,60,11/11/20,13:00,242.9200000,244.3600000,242.6200000,244.2000000,17665370
SBER,60,11/11/20,14:00,244.2200000,245.1400000,242.5300000,242.9400000,32417240
SBER,60,11/11/20,15:00,242.9900000,243.7000000,242.5000000,243.6500000,18828460
SBER,60,11/11/20,16:00,243.6500000,244.5600000,243.3000000,244.1800000,18983040
SBER,60,11/11/20,17:00,244.1800000,244.9500000,243.8500000,244.5700000,19120480
SBER,60,11/11/20,18:00,244.5900000,244.6000000,242.8000000,243.6000000,20703830
SBER,60,11/11/20,19:00,244.3800000,245.9800000,244.2000000,245.2300000,8014330
SBER,60,11/11/20,20:00,245.2000000,245.2700000,244.7600000,244.9000000,1925710
SBER,60,11/11/20,21:00,244.9000000,245.0000000,244.6000000,244.6000000,3677680
SBER,60,11/11/20,22:00,244.6000000,244.8400000,244.0800000,244.3800000,1793340
SBER,60,11/11/20,23:00,244.3300000,244.4400000,243.7200000,244.2000000,1476160
SBER,60,12/11/20,10:00,243.3100000,243.3800000,240.2200000,241.6800000,23598070
SBER,60,12/11/20,11:00,241.6600000,245.7200000,241.4500000,242.9900000,27691210
SBER,60,12/11/20,12:00,243.0000000,244.5000000,242.5800000,243.7400000,9482510
SBER,60,12/11/20,13:00,243.7400000,244.6000000,243.0800000,244.0500000,10679250
SBER,60,12/11/20,14:00,244.0500000,245.0000000,244.0000000,244.5500000,9743100
SBER,60,12/11/20,15:00,244.5800000,244.5900000,241.5700000,241.9400000,14561110
SBER,60,12/11/20,16:00,241.9500000,244.0600000,241.2400000,243.5900000,16306880
SBER,60,12/11/20,17:00,243.6600000,244.6600000,242.8300000,244.4700000,12279580
SBER,60,12/11/20,18:00,244.4600000,245.1900000,244.4600000,245.0700000,16845450
SBER,60,12/11/20,19:00,244.8200000,244.8200000,243.9100000,244.5500000,3063560
SBER,60,12/11/20,20:00,244.5500000,244.7800000,243.6000000,243.7400000,1725850
SBER,60,12/11/20,21:00,243.7300000,243.7700000,243.1700000,243.2500000,1244560
SBER,60,12/11/20,22:00,243.3000000,243.4400000,242.2200000,242.4900000,2158010
SBER,60,12/11/20,23:00,242.4800000,242.4900000,241.8900000,242.0800000,1982970
SBER,60,13/11/20,10:00,242.0100000,244.1400000,241.3000000,243.8900000,15342710
SBER,60,13/11/20,11:00,243.8900000,244.0200000,240.9400000,241.7600000,14280350
SBER,60,13/11/20,12:00,241.7600000,242.5500000,241.4200000,242.0500000,7015820
SBER,60,13/11/20,13:00,242.0500000,242.3100000,241.0800000,241.6200000,7994330
SBER,60,13/11/20,14:00,241.6200000,241.6500000,239.2200000,239.7800000,15452720
SBER,60,13/11/20,15:00,239.8000000,240.1000000,239.3000000,239.9000000,5721460
SBER,60,13/11/20,16:00,239.9200000,241.3900000,239.7300000,239.8800000,8984040
SBER,60,13/11/20,17:00,239.8800000,240.3400000,238.6200000,239.5900000,10503350
SBER,60,13/11/20,18:00,239.5900000,240.3000000,239.5000000,239.7900000,9643080
SBER,60,13/11/20,19:00,240.3700000,241.5000000,240.3700000,241.2800000,3483330
SBER,60,13/11/20,20:00,241.3000000,242.2000000,241.2900000,242.0100000,2250610
